,모델,c0,c1,c2,c3
,모델 버전,Dep. Variable:,QTY,R-squared:,0.141
0,"OLS_Least Squares_Fri, 12 Mar 2021",Model:,OLS,Adj. R-squared:,0.139
1,"OLS_Least Squares_Fri, 12 Mar 2021",Method:,Least Squares,F-statistic:,68.16
2,"OLS_Least Squares_Fri, 12 Mar 2021",Date:,"Fri, 12 Mar 2021",Prob (F-statistic):,2.769999999999999e-129
3,"OLS_Least Squares_Fri, 12 Mar 2021",Time:,15:23:22,Log-Likelihood:,-39303.0
4,"OLS_Least Squares_Fri, 12 Mar 2021",No. Observations:,4169,AIC:,78630.0
5,"OLS_Least Squares_Fri, 12 Mar 2021",Df Residuals:,4158,BIC:,78700.0
6,"OLS_Least Squares_Fri, 12 Mar 2021",Df Model:,10,,
7,"OLS_Least Squares_Fri, 12 Mar 2021",Covariance Type:,nonrobust,,
