,RD_index,TD_index,Predicted
0,38,66199,877.2191021154889
1,38,138684,773.5327039011514
2,38,119559,773.5327039011514
3,38,98160,3060.7638328963885
4,38,101179,3423.3648385016872
5,38,139584,2067.2564154161346
6,38,63769,773.5327039011514
7,38,29011,877.2191021154889
8,38,131085,2067.2564154161346
9,38,87768,2067.2564154161346
10,38,134827,2067.2564154161346
11,38,1378,773.5327039011514
12,38,103505,773.5327039011514
13,38,90544,877.2191021154889
14,38,38760,3060.7638328963885
15,38,109249,773.5327039011514
16,38,6407,773.5327039011514
17,38,47296,3060.7638328963885
18,38,19932,3060.7638328963885
19,38,6419,773.5327039011514
20,38,127996,3060.7638328963885
21,38,146246,877.2191021154889
22,38,31289,2067.2564154161346
23,38,101244,3060.7638328963885
24,38,107490,2067.2564154161346
25,38,125317,2067.2564154161346
26,38,25584,3060.7638328963885
27,38,4120,3423.3648385016872
28,38,63455,2067.2564154161346
29,38,128343,877.2191021154889
30,38,12699,2067.2564154161346
31,38,119311,3060.7638328963885
32,38,54300,3060.7638328963885
33,38,134189,2067.2564154161346
34,38,25750,3060.7638328963885
35,38,90456,877.2191021154889
36,38,8404,3060.7638328963885
37,38,41408,773.5327039011514
38,38,115039,877.2191021154889
39,38,85114,2067.2564154161346
40,38,103688,3060.7638328963885
41,38,87379,773.5327039011514
42,38,2442,3423.3648385016872
43,38,17797,3060.7638328963885
44,38,23967,3060.7638328963885
45,38,49303,2067.2564154161346
46,38,143781,773.5327039011514
47,38,47366,773.5327039011514
48,38,95315,2067.2564154161346
49,38,15596,3423.3648385016872
50,38,149441,773.5327039011514
51,38,18343,3060.7638328963885
52,38,699,773.5327039011514
53,38,1597,773.5327039011514
54,38,96233,2067.2564154161346
55,38,111271,3060.7638328963885
56,38,25031,3060.7638328963885
57,38,12094,3060.7638328963885
58,38,47941,2067.2564154161346
59,38,132238,2067.2564154161346
60,38,33057,773.5327039011514
61,38,42873,3060.7638328963885
62,38,36314,2067.2564154161346
63,38,39921,3423.3648385016872
64,38,149676,3060.7638328963885
65,38,26169,3423.3648385016872
66,38,116981,2067.2564154161346
67,38,8245,3060.7638328963885
68,38,80093,3060.7638328963885
69,38,126744,3060.7638328963885
70,38,25620,3060.7638328963885
71,38,55017,877.2191021154889
72,38,33305,2067.2564154161346
73,38,32187,773.5327039011514
74,38,24003,3060.7638328963885
75,38,35874,3060.7638328963885
76,38,62667,3060.7638328963885
77,38,15827,877.2191021154889
78,38,85884,2067.2564154161346
79,38,98230,2067.2564154161346
80,38,143941,877.2191021154889
81,38,109261,773.5327039011514
82,38,10311,773.5327039011514
83,38,9261,3060.7638328963885
84,38,26583,773.5327039011514
85,38,111130,877.2191021154889
86,38,142239,2067.2564154161346
87,38,90350,2067.2564154161346
88,38,80276,2067.2564154161346
89,38,70929,773.5327039011514
90,38,155485,877.2191021154889
91,38,130768,2067.2564154161346
92,38,9509,3060.7638328963885
93,38,67457,3060.7638328963885
94,38,4067,3423.3648385016872
95,38,70873,2067.2564154161346
96,38,97664,3423.3648385016872
97,38,71741,2067.2564154161346
98,38,32329,773.5327039011514
99,38,128178,2067.2564154161346
100,38,24186,3060.7638328963885
101,38,10932,3060.7638328963885
102,38,36225,2067.2564154161346
103,38,131950,2067.2564154161346
104,38,5421,3060.7638328963885
105,38,6135,3060.7638328963885
106,38,110320,3423.3648385016872
107,38,38772,3060.7638328963885
108,38,111428,2067.2564154161346
109,38,40015,3423.3648385016872
110,38,95338,877.2191021154889
111,38,62900,773.5327039011514
112,38,32547,2067.2564154161346
113,38,77727,3060.7638328963885
114,38,92614,773.5327039011514
115,38,149253,2067.2564154161346
116,38,36479,877.2191021154889
117,38,103176,2067.2564154161346
118,38,70370,773.5327039011514
119,38,3340,3423.3648385016872
120,38,40851,877.2191021154889
121,38,11079,3423.3648385016872
122,38,122972,2067.2564154161346
123,38,11817,3060.7638328963885
124,38,16439,3060.7638328963885
125,38,139683,773.5327039011514
126,38,72024,2067.2564154161346
127,38,58953,877.2191021154889
128,38,132094,2067.2564154161346
129,38,9302,3060.7638328963885
130,38,38651,2067.2564154161346
131,38,41283,773.5327039011514
132,38,63251,877.2191021154889
133,38,49234,877.2191021154889
134,38,95619,2067.2564154161346
135,38,43232,773.5327039011514
136,38,28778,2067.2564154161346
137,38,135844,3060.7638328963885
138,38,11014,773.5327039011514
139,38,58897,877.2191021154889
140,38,138898,2067.2564154161346
141,38,63427,773.5327039011514
142,38,58636,877.2191021154889
143,38,63399,773.5327039011514
144,38,58171,2067.2564154161346
145,38,16309,3060.7638328963885
146,38,129957,2067.2564154161346
147,38,17756,3060.7638328963885
148,38,77703,3060.7638328963885
149,38,128596,877.2191021154889
150,38,115696,3423.3648385016872
151,38,27944,2067.2564154161346
152,38,120173,773.5327039011514
153,38,119506,773.5327039011514
154,38,135621,3060.7638328963885
155,38,30932,2067.2564154161346
156,38,33542,2067.2564154161346
157,38,80561,3060.7638328963885
158,38,48522,877.2191021154889
159,38,110425,3060.7638328963885
160,38,128762,877.2191021154889
161,38,25738,3060.7638328963885
162,38,123008,2067.2564154161346
163,38,153657,2067.2564154161346
164,38,3759,3060.7638328963885
165,38,18223,3060.7638328963885
166,38,128191,3423.3648385016872
167,38,16215,3060.7638328963885
168,38,46534,2067.2564154161346
169,38,42600,3060.7638328963885
170,38,16150,3060.7638328963885
171,38,91295,2067.2564154161346
172,38,135012,877.2191021154889
173,38,58252,2067.2564154161346
174,38,1171,2067.2564154161346
175,38,9326,3060.7638328963885
176,38,10766,773.5327039011514
177,38,69265,2067.2564154161346
178,38,56477,773.5327039011514
179,38,77626,3060.7638328963885
180,38,111570,2067.2564154161346
181,38,42092,3060.7638328963885
182,38,34076,773.5327039011514
183,38,93630,773.5327039011514
184,38,73070,2067.2564154161346
185,38,85179,2067.2564154161346
186,38,134680,773.5327039011514
187,38,17183,3060.7638328963885
188,38,108782,3060.7638328963885
189,38,107579,2067.2564154161346
190,38,134697,773.5327039011514
191,38,98201,3060.7638328963885
192,38,61668,3060.7638328963885
193,38,36415,2067.2564154161346
194,38,80040,3060.7638328963885
195,38,162,2067.2564154161346
196,38,11156,3423.3648385016872
197,38,86156,773.5327039011514
198,38,18747,3060.7638328963885
199,38,128560,877.2191021154889
200,268,66199,1963.570017201797
201,268,138684,2067.2564154161346
202,268,119559,2067.2564154161346
203,268,98160,3395.3965189792902
204,268,101179,3032.7955133739924
205,268,139584,773.5327039011514
206,268,63769,2067.2564154161346
207,268,29011,1963.570017201797
208,268,131085,773.5327039011514
209,268,87768,773.5327039011514
210,268,134827,773.5327039011514
211,268,1378,2067.2564154161346
212,268,103505,2067.2564154161346
213,268,90544,1963.570017201797
214,268,38760,3395.3965189792902
215,268,109249,2067.2564154161346
216,268,6407,2067.2564154161346
217,268,47296,3395.3965189792902
218,268,19932,3395.3965189792902
219,268,6419,2067.2564154161346
220,268,127996,3395.3965189792902
221,268,146246,1963.570017201797
222,268,31289,773.5327039011514
223,268,101244,3395.3965189792902
224,268,107490,773.5327039011514
225,268,125317,773.5327039011514
226,268,25584,3395.3965189792902
227,268,4120,3032.7955133739924
228,268,63455,773.5327039011514
229,268,128343,1963.570017201797
230,268,12699,773.5327039011514
231,268,119311,3395.3965189792902
232,268,54300,3395.3965189792902
233,268,134189,773.5327039011514
234,268,25750,3395.3965189792902
235,268,90456,1963.570017201797
236,268,8404,3395.3965189792902
237,268,41408,2067.2564154161346
238,268,115039,1963.570017201797
239,268,85114,773.5327039011514
240,268,103688,3395.3965189792902
241,268,87379,2067.2564154161346
242,268,2442,3032.7955133739924
243,268,17797,3395.3965189792902
244,268,23967,3395.3965189792902
245,268,49303,773.5327039011514
246,268,143781,2067.2564154161346
247,268,47366,2067.2564154161346
248,268,95315,773.5327039011514
249,268,15596,3032.7955133739924
250,268,149441,2067.2564154161346
251,268,18343,3395.3965189792902
252,268,699,2067.2564154161346
253,268,1597,2067.2564154161346
254,268,96233,773.5327039011514
255,268,111271,3395.3965189792902
256,268,25031,3395.3965189792902
257,268,12094,3395.3965189792902
258,268,47941,773.5327039011514
259,268,132238,773.5327039011514
260,268,33057,2067.2564154161346
261,268,42873,3395.3965189792902
262,268,36314,773.5327039011514
263,268,39921,3032.7955133739924
264,268,149676,3395.3965189792902
265,268,26169,3032.7955133739924
266,268,116981,773.5327039011514
267,268,8245,3395.3965189792902
268,268,80093,3395.3965189792902
269,268,126744,3395.3965189792902
270,268,25620,3395.3965189792902
271,268,55017,1963.570017201797
272,268,33305,773.5327039011514
273,268,32187,2067.2564154161346
274,268,24003,3395.3965189792902
275,268,35874,3395.3965189792902
276,268,62667,3395.3965189792902
277,268,15827,1963.570017201797
278,268,85884,773.5327039011514
279,268,98230,773.5327039011514
280,268,143941,1963.570017201797
281,268,109261,2067.2564154161346
282,268,10311,2067.2564154161346
283,268,9261,3395.3965189792902
