,모델,c0,c1,c2,c3,c4,c5,c6
,모델 버전,index,coef,std err,z,P>|z|,[0.025,0.975]
0,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",intercept,964.837,596.347,1.618,0.106,-203.982,2133.656
1,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",ar.L1,0.4591,0.141,3.2460000000000004,0.001,0.182,0.736
2,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",sigma2,3054000.0,590000.0,5.176,0.0,1900000.0,4210000.0
