,new_Predicted
69465,0.10189488068183424
91596,0.08618593932458724
147046,0.08618593932458724
151746,0.0835390652974793
154519,0.025494581945825552
139334,0.10320135764748424
148647,0.03690180157466883
88945,0.7024835555949392
70034,0.08893769889927639
30994,0.09878569109107357
156784,0.025494581945825552
153186,0.10320135764748424
155269,0.10320135764748424
36361,0.08618593932458724
108702,0.08893769889927639
40321,0.6849094369281786
14311,0.09012421506677136
151399,0.7024835555949392
156551,0.10320135764748424
50025,0.08621428814876274
31555,0.0835390652974793
155125,0.025494581945825552
124401,0.09878569109107357
58334,0.09878569109107357
83679,0.7024835555949392
63241,0.0835390652974793
6889,0.6922184963332719
127388,0.7024835555949392
14140,0.7024835555949392
155924,0.09878569109107357
2064,0.7232902106039963
149286,0.1424881324372283
10490,0.10189488068183424
72886,0.08893769889927639
150755,0.08618593932458724
139404,0.10320135764748424
79476,0.026364483873471106
153419,0.08733926364707457
69128,0.10320135764748424
38433,0.10320135764748424
84108,0.7024835555949392
112119,0.025494581945825552
73452,0.09295857136678648
64363,0.08893769889927639
152527,0.10320135764748424
72016,0.10643311293494415
53978,0.08618593932458724
71258,0.08618593932458724
148766,0.02276842432093733
81983,0.7024835555949392
