,모델 버전,index,PRJ_ID,DATA_TYPE,PART,MONTH_NO,MONTH,YEAR,QTY,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5
0,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:39",65640,DAESANG,RD,1019260,20-Jan,Jan,20,873.5911844716074,냉동,B2C,222220100,X,A
1,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:39",65641,DAESANG,RD,1019260,20-Feb,Feb,20,963.5278973481163,냉동,B2C,222220100,X,A
2,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:39",65642,DAESANG,RD,1019260,20-Mar,Mar,20,1015.8504948537791,냉동,B2C,222220100,X,A
3,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:39",65643,DAESANG,RD,1019260,20-Apr,Apr,20,1046.2902799224044,냉동,B2C,222220100,X,A
4,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:39",65644,DAESANG,RD,1019260,20-May,May,20,1063.9992729616704,냉동,B2C,222220100,X,A
