,모델,c0,c1,c2,c3
,모델 버전,Dep. Variable:,y,No. Observations:,72
0,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",Model:,"SARIMAX(1, 0, 0)",Log Likelihood,-639.3330000000001
1,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",Date:,"Fri, 12 Mar 2021",AIC,1284.6660000000002
2,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",Time:,15:22:40,BIC,1291.496
3,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",Sample:,0,HQIC,1287.385
4,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",,- 72,,
5,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",Covariance Type:,opg,,
