,모델,c0,c1,c2,c3,c4,c5,c6
,모델 버전,index,coef,std err,z,P>|z|,[0.025,0.975]
0,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:39",intercept,455.2976,163.208,2.79,0.005,135.416,775.179
1,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:39",ar.L1,0.5818,0.163,3.5660000000000003,0.0,0.262,0.902
2,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:39",sigma2,144500.0,34300.0,4.209,0.0,77200.0,212000.0
