,new_Predicted
69465,1310.4091533938356
91596,129.73174349493115
147046,129.73174349493115
151746,-717.9920367192628
154519,219.7263344240223
139334,1116.7369944601764
148647,-1144.3995189325688
88945,3299.608955066955
70034,780.0456821138349
30994,660.095214774932
156784,219.7263344240223
153186,1116.7369944601764
155269,1116.7369944601764
36361,129.73174349493115
108702,780.0456821138349
40321,1995.243395167516
14311,388.96368158488553
151399,3299.608955066955
156551,1116.7369944601764
50025,-67.67809810035916
31555,-717.9920367192628
155125,219.7263344240223
124401,660.095214774932
58334,660.095214774932
83679,3299.608955066955
63241,-717.9920367192628
6889,2842.96717538171
127388,3299.608955066955
14140,3299.608955066955
155924,660.095214774932
2064,3373.3306466617105
149286,-53.71669996275534
10490,1310.4091533938356
72886,780.0456821138349
150755,129.73174349493115
139404,1116.7369944601764
79476,870.0402730429261
153419,-261.3502570340182
69128,1116.7369944601764
38433,1116.7369944601764
84108,3299.608955066955
112119,219.7263344240223
73452,1236.6874617990795
64363,780.0456821138349
152527,1116.7369944601764
72016,1767.05093307908
53978,129.73174349493115
71258,129.73174349493115
148766,339.67680176292527
81983,3299.608955066955
