,new_Predicted
69465,1117.9850528098293
91596,177.57552240560656
147046,177.57552240560656
151746,209.51760428826478
154519,382.738180722698
139334,323.94734863525827
148647,177.32453795439505
88945,3525.3299277136457
70034,571.4369176433311
30994,528.6274279709189
156784,382.738180722698
153186,323.94734863525827
155269,323.94734863525827
36361,177.57552240560656
108702,571.4369176433311
40321,2836.746090658709
14311,666.3291701385801
151399,3525.3299277136457
156551,323.94734863525827
50025,716.7488006759669
31555,209.51760428826478
155125,382.738180722698
124401,528.6274279709189
58334,528.6274279709189
83679,3525.3299277136457
63241,209.51760428826478
6889,2796.320499700103
127388,3525.3299277136457
14140,3525.3299277136457
155924,528.6274279709189
2064,2836.746090658709
149286,571.4369176433311
10490,1117.9850528098293
72886,571.4369176433311
150755,177.57552240560656
139404,323.94734863525827
79476,996.4760786346266
153419,228.22876590271878
69128,323.94734863525827
38433,323.94734863525827
84108,3525.3299277136457
112119,382.738180722698
73452,542.90463849058
64363,571.4369176433311
152527,323.94734863525827
72016,949.0861732808673
53978,177.57552240560656
71258,177.57552240560656
148766,548.6731761316695
81983,3525.3299277136457
