,모델,c0,c1,c2,c3
,모델 버전,Dep. Variable:,QTY,No. Observations:,300
0,"Logit_MLE_Mon, 29 Mar 2021",Model:,Logit,Df Residuals:,292.0
1,"Logit_MLE_Mon, 29 Mar 2021",Method:,MLE,Df Model:,7.0
2,"Logit_MLE_Mon, 29 Mar 2021",Date:,"Mon, 29 Mar 2021",Pseudo R-squ.:,0.3452
3,"Logit_MLE_Mon, 29 Mar 2021",Time:,10:29:52,Log-Likelihood:,-109.74
4,"Logit_MLE_Mon, 29 Mar 2021",converged:,True,LL-Null:,-167.59
5,"Logit_MLE_Mon, 29 Mar 2021",Covariance Type:,nonrobust,LLR p-value:,5.996e-22
