,new_Predicted
82358,0.08618593932458724
130795,0.08618593932458724
141010,0.025494581945825552
155022,0.025494581945825552
12065,0.6922184963332719
147136,0.10189488068183424
8581,0.09878569109107357
152060,0.025494581945825552
151040,0.7329188112400765
141701,0.34928983476754766
69565,0.08893769889927639
83045,0.09009470734675658
23333,0.08618593932458724
136015,0.09009470734675658
13708,0.6953109676894013
69805,0.08893769889927639
95566,0.09878569109107357
107796,0.6922184963332719
73277,0.1383310763316534
145853,0.10320135764748424
108187,0.08618593932458724
34830,0.10320135764748424
91464,0.6922184963332719
65178,0.025494581945825552
13837,0.08733926364707457
60154,0.08733926364707457
60862,0.09295857136678648
4079,0.7232902106039963
31171,0.10189488068183424
153042,0.10320135764748424
133440,0.026364483873471106
132067,0.09878569109107357
9491,0.6922184963332719
92909,0.10643311293494415
154659,0.02276842432093733
33007,0.08621428814876274
72411,0.09009470734675658
149089,0.3841826003980689
101369,0.6922184963332719
149156,0.09295857136678648
4655,0.10189488068183424
142369,0.6922184963332719
97310,0.10189488068183424
74466,0.7024835555949392
48864,0.08618593932458724
32743,0.10320135764748424
71740,0.10320135764748424
135110,0.026364483873471106
71810,0.026364483873471106
72543,0.09295857136678648
