,new_Predicted
87441,1117.9850528098293
125718,177.57552240560656
63686,2796.320499700103
20721,209.51760428826478
54401,2796.320499700103
74208,3525.3299277136457
154332,996.4760786346266
147322,528.6274279709189
91212,323.94734863525827
42704,2796.320499700103
147116,1117.9850528098293
154601,996.4760786346266
33616,528.6274279709189
93041,323.94734863525827
21688,666.3291701385801
75134,3565.7555186722516
146803,2836.746090658709
150336,528.6274279709189
38500,528.6274279709189
65039,996.4760786346266
150948,949.0861732808673
97179,3525.3299277136457
24224,2796.320499700103
71085,571.4369176433311
149834,2796.320499700103
106621,542.90463849058
37348,228.22876590271878
2000,528.6274279709189
126542,382.738180722698
42953,2796.320499700103
124080,323.94734863525827
147120,1117.9850528098293
138663,571.4369176433311
3235,2836.746090658709
148982,2930.4587887650537
58197,528.6274279709189
148970,177.32453795439505
156426,323.94734863525827
77621,2836.746090658709
141366,682.7145850263744
82907,3525.3299277136457
101241,2836.746090658709
22799,323.94734863525827
117364,209.51760428826478
146952,1117.9850528098293
146665,323.94734863525827
53602,209.97894530943347
120501,323.94734863525827
38798,2796.320499700103
154677,996.4760786346266
